"type","release_year","total_count"
TV Show,1925,1
Movie,1942,2
Movie,1943,3
Movie,1944,3
Movie,1945,3
TV Show,1945,1
TV Show,1946,1
Movie,1946,1
Movie,1947,1
Movie,1954,2
Movie,1955,3
Movie,1956,2
Movie,1958,3
Movie,1959,1
Movie,1960,4
Movie,1961,1
Movie,1962,3
Movie,1963,1
TV Show,1963,1
Movie,1964,2
Movie,1965,2
Movie,1966,1
TV Show,1967,1
Movie,1967,4
Movie,1968,3
Movie,1969,2
Movie,1970,2
Movie,1971,5
TV Show,1972,1
Movie,1972,4
Movie,1973,10
Movie,1974,6
TV Show,1974,1
Movie,1975,7
Movie,1976,9
Movie,1977,6
TV Show,1977,1
Movie,1978,7
Movie,1979,10
TV Show,1979,1
Movie,1980,11
TV Show,1981,1
Movie,1981,12
Movie,1982,17
Movie,1983,11
Movie,1984,12
TV Show,1985,1
Movie,1985,9
TV Show,1986,2
Movie,1986,11
Movie,1987,8
Movie,1988,16
TV Show,1988,2
TV Show,1989,1
Movie,1989,15
Movie,1990,19
TV Show,1990,3
TV Show,1991,1
Movie,1991,16
Movie,1992,20
TV Show,1992,3
Movie,1993,24
TV Show,1993,4
Movie,1994,20
TV Show,1994,2
Movie,1995,23
TV Show,1995,2
Movie,1996,21
TV Show,1996,3
TV Show,1997,4
Movie,1997,34
Movie,1998,32
TV Show,1998,4
Movie,1999,32
TV Show,1999,7
Movie,2000,33
TV Show,2000,4
TV Show,2001,5
Movie,2001,40
Movie,2002,44
TV Show,2002,7
Movie,2003,51
TV Show,2003,10
Movie,2004,55
TV Show,2004,9
TV Show,2005,13
Movie,2005,67
TV Show,2006,14
Movie,2006,82
TV Show,2007,14
Movie,2007,74
Movie,2008,113
TV Show,2008,23
TV Show,2009,34
Movie,2009,118
Movie,2010,154
TV Show,2010,40
Movie,2011,145
TV Show,2011,40
TV Show,2012,64
Movie,2012,173
Movie,2013,225
TV Show,2013,63
TV Show,2014,88
Movie,2014,263
TV Show,2015,162
Movie,2015,398
Movie,2016,658
TV Show,2016,244
TV Show,2017,265
Movie,2017,767
Movie,2018,767
TV Show,2018,380
TV Show,2019,397
Movie,2019,633
Movie,2020,517
TV Show,2020,436
Movie,2021,277
TV Show,2021,315
