"type","listed_in","release_year","total_titles"
Movie,International Movies,2018,340
Movie,International Movies,2017,328
Movie,International Movies,2016,305
Movie,Dramas,2018,304
Movie,Dramas,2017,285
Movie,International Movies,2019,282
Movie,Dramas,2016,265
Movie,Dramas,2019,243
Movie,International Movies,2020,239
TV Show,International TV Shows,2020,214
Movie,International Movies,2015,210
TV Show,International TV Shows,2019,201
Movie,Dramas,2020,195
TV Show,International TV Shows,2018,190
Movie,Dramas,2015,180
Movie,Comedies,2018,178
Movie,Documentaries,2017,172
Movie,Comedies,2017,164
Movie,Comedies,2019,159
Movie,Comedies,2016,150
TV Show,International TV Shows,2021,149
Movie,International Movies,2021,141
Movie,Documentaries,2016,137
TV Show,International TV Shows,2017,136
TV Show,International TV Shows,2016,133
Movie,Comedies,2020,133
TV Show,TV Dramas,2019,133
Movie,Independent Movies,2018,131
TV Show,TV Dramas,2020,127
Movie,International Movies,2014,126
Movie,International Movies,2013,121
Movie,Documentaries,2018,120
Movie,Independent Movies,2017,113
TV Show,TV Dramas,2018,109
TV Show,TV Comedies,2020,105
Movie,Documentaries,2019,104
Movie,Dramas,2014,103
Movie,Independent Movies,2016,101
Movie,Comedies,2015,94
TV Show,International TV Shows,2015,93
Movie,Dramas,2021,92
TV Show,Crime TV Shows,2019,92
Movie,Action & Adventure,2017,89
TV Show,Crime TV Shows,2020,87
Movie,Thrillers,2018,83
Movie,Children & Family Movies,2020,83
Movie,Dramas,2013,83
TV Show,TV Dramas,2021,83
Movie,Children & Family Movies,2019,82
TV Show,TV Comedies,2018,82
Movie,Action & Adventure,2018,81
Movie,Action & Adventure,2016,80
Movie,International Movies,2012,80
TV Show,Crime TV Shows,2018,79
Movie,Comedies,2014,79
Movie,Documentaries,2020,77
TV Show,TV Dramas,2017,77
Movie,Independent Movies,2019,76
TV Show,TV Comedies,2019,75
Movie,International Movies,2010,75
TV Show,Docuseries,2020,74
TV Show,TV Dramas,2016,73
TV Show,TV Comedies,2021,72
Movie,Thrillers,2016,72
Movie,Thrillers,2019,71
Movie,Comedies,2021,70
Movie,Children & Family Movies,2018,69
Movie,Thrillers,2017,68
Movie,Documentaries,2015,67
Movie,Dramas,2010,66
Movie,Dramas,2012,66
Movie,Independent Movies,2015,65
Movie,Comedies,2013,65
TV Show,Kids' TV,2018,64
Movie,Romantic Movies,2018,64
Movie,Romantic Movies,2019,64
Movie,Romantic Movies,2017,64
TV Show,Kids' TV,2020,63
Movie,Romantic Movies,2020,61
TV Show,Docuseries,2018,61
Movie,Comedies,2012,61
Movie,Dramas,2011,60
Movie,Stand-Up Comedy,2018,59
TV Show,Kids' TV,2019,59
Movie,Stand-Up Comedy,2017,58
TV Show,TV Comedies,2017,57
TV Show,Docuseries,2021,57
TV Show,Reality TV,2020,55
Movie,Children & Family Movies,2017,55
Movie,International Movies,2011,55
TV Show,Crime TV Shows,2017,54
Movie,Action & Adventure,2015,53
Movie,Documentaries,2021,53
TV Show,Kids' TV,2017,53
Movie,Comedies,2010,52
Movie,Horror Movies,2018,51
Movie,Comedies,2011,51
Movie,International Movies,2009,50
TV Show,TV Dramas,2015,50
Movie,Dramas,2008,49
Movie,Stand-Up Comedy,2019,49
TV Show,Romantic TV Shows,2019,48
Movie,Music & Musicals,2019,48
TV Show,Crime TV Shows,2021,47
TV Show,International TV Shows,2014,47
Movie,Horror Movies,2017,47
Movie,International Movies,2008,47
TV Show,Docuseries,2019,47
TV Show,TV Comedies,2016,47
Movie,Action & Adventure,2020,46
TV Show,Romantic TV Shows,2016,46
TV Show,Romantic TV Shows,2020,46
TV Show,Kids' TV,2016,46
Movie,Independent Movies,2020,46
Movie,Children & Family Movies,2016,45
Movie,Thrillers,2020,45
TV Show,Reality TV,2021,44
TV Show,Kids' TV,2021,44
Movie,Action & Adventure,2019,44
Movie,Comedies,2008,43
Movie,Music & Musicals,2018,43
TV Show,Reality TV,2019,42
Movie,Sci-Fi & Fantasy,2018,42
Movie,Comedies,2009,42
Movie,Stand-Up Comedy,2020,41
Movie,International Movies,2006,41
Movie,Romantic Movies,2016,41
Movie,Dramas,2009,41
Movie,Children & Family Movies,2021,40
Movie,Romantic Movies,2015,40
TV Show,International TV Shows,2013,40
TV Show,Romantic TV Shows,2018,39
TV Show,Crime TV Shows,2016,39
TV Show,Docuseries,2017,39
Movie,Thrillers,2014,38
Movie,Stand-Up Comedy,2016,37
Movie,Music & Musicals,2020,37
TV Show,TV Comedies,2015,37
TV Show,British TV Shows,2018,37
Movie,Action & Adventure,2021,37
TV Show,Reality TV,2018,36
Movie,Dramas,2006,36
TV Show,International TV Shows,2012,36
TV Show,Docuseries,2016,36
TV Show,TV Action & Adventure,2019,35
Movie,Comedies,2006,35
Movie,Independent Movies,2014,35
TV Show,Romantic TV Shows,2015,34
Movie,Children & Family Movies,2013,34
Movie,Horror Movies,2019,34
TV Show,British TV Shows,2017,34
Movie,Music & Musicals,2017,33
Movie,Thrillers,2021,33
TV Show,British TV Shows,2020,33
Movie,Horror Movies,2016,32
Movie,Dramas,2007,32
TV Show,TV Action & Adventure,2020,32
TV Show,Romantic TV Shows,2021,32
Movie,Thrillers,2015,32
TV Show,Spanish-Language TV Shows,2021,32
Movie,Sports Movies,2016,32
Movie,Independent Movies,2013,32
Movie,International Movies,2007,32
TV Show,Spanish-Language TV Shows,2019,31
Movie,Romantic Movies,2014,31
Movie,Documentaries,2014,31
TV Show,Romantic TV Shows,2017,30
TV Show,British TV Shows,2016,30
Movie,Comedies,2007,30
Movie,Documentaries,2013,30
Movie,Action & Adventure,2010,29
Movie,Action & Adventure,2013,29
Movie,International Movies,2004,29
Movie,Horror Movies,2020,29
Movie,International Movies,2005,29
Movie,Action & Adventure,2012,29
Movie,Sports Movies,2017,29
Movie,Children & Family Movies,2014,29
TV Show,Spanish-Language TV Shows,2020,28
Movie,Action & Adventure,2014,28
TV Show,TV Action & Adventure,2021,28
TV Show,TV Action & Adventure,2018,28
Movie,Music & Musicals,2016,27
TV Show,Spanish-Language TV Shows,2018,27
Movie,Sports Movies,2018,27
Movie,Romantic Movies,2010,27
TV Show,TV Mysteries,2020,27
TV Show,British TV Shows,2019,26
Movie,Dramas,2005,26
Movie,Action & Adventure,2011,26
Movie,Children & Family Movies,2011,26
TV Show,Korean TV Shows,2016,26
TV Show,Korean TV Shows,2017,25
Movie,Independent Movies,2012,25
TV Show,Crime TV Shows,2015,25
Movie,Comedies,2005,25
Movie,Romantic Movies,2021,25
Movie,Sports Movies,2019,25
TV Show,Kids' TV,2015,24
Movie,Action & Adventure,2008,24
Movie,Music & Musicals,2015,24
TV Show,Reality TV,2016,24
TV Show,Anime Series,2018,24
TV Show,International TV Shows,2011,23
Movie,Sci-Fi & Fantasy,2017,23
Movie,Romantic Movies,2011,23
TV Show,Anime Series,2021,23
